wv_nm,T_227
282.8,82.363093845
282.81,82.3041815
282.82,82.246598015
282.83,82.19061239
282.84,82.13580902
282.85,82.082187905
282.86,82.03014851
282.87,81.979413765
282.88,81.930122205
282.89,81.88253476
282.9,81.836781895
282.91,81.79287975
282.92,81.75094265
282.93,81.71139427
282.94,81.67395754
282.95,81.639317065
282.96,81.607203845
282.97,81.577764485
282.98,81.551536985
282.99,81.528260415
283,81.50808138
283.01,81.490869415
283.02,81.47717059
283.03,81.46632451
283.04,81.458600175
283.05,81.45386712
283.06,81.45173395
283.07,81.452200665
283.08,81.4551368
283.09,81.460012425
283.1,81.466680935
283.11,81.47462047
283.12,81.483684425
283.13,81.493473335
283.14,81.503302595
283.15,81.512911275
283.16,81.522022305
283.17,81.52995108
283.18,81.5361596
283.19,81.54050933
283.2,81.5424542
283.21,81.54144814
283.22,81.537360685
283.23,81.52976816
283.24,81.518140635
283.25,81.50247004
283.26,81.48234884
283.27,81.4573695
283.28,81.427670555
283.29,81.3928364
283.3,81.352875105
283.31,81.30751767
283.32,81.257033095
283.33,81.20115238
283.34,81.13974506
283.35,81.073072065
283.36,81.00128
283.37,80.9242384
283.38,80.841939195
283.39,80.75479799
283.4,80.662806715
283.41,80.566103905
283.42,80.464828095
283.43,80.35910975
283.44,80.24921787
283.45,80.13502199
283.46,80.017190575
283.47,79.89558509
283.48,79.770336
283.49,79.64158184
283.5,79.50985254
283.51,79.37488717
283.52,79.237069055
283.53,79.096414335
283.54,78.953314405
283.55,78.80763073
283.56,78.659778915
283.57,78.50974282
283.58,78.357799515
283.59,78.203949
283.6,78.04859881
283.61,77.891748945
283.62,77.733399405
283.63,77.57382726
283.64,77.413440045
283.65,77.25196876
283.66,77.08982901
283.67,76.92715126
283.68,76.764082115
283.69,76.600890575
283.7,76.437723245
283.71,76.27444159
283.72,76.11159975
283.73,75.949189655
283.74,75.787488375
283.75,75.626365445
283.76,75.46648933
283.77,75.307737635
283.78,75.15009422
283.79,74.99397469
283.8,74.83950951
283.81,74.68669061
283.82,74.53578699
283.83,74.38705958
283.84,74.24023938
283.85,74.095717785
283.86,73.953494795
283.87,73.81356234
283.88,73.67618135
283.89,73.541351825
283.9,73.40918809
283.91,73.279698215
283.92,73.152735595
283.93,73.028430695
283.94,72.906775445
283.95,72.788038845
283.96,72.67181336
283.97,72.55836799
283.98,72.4475642
283.99,72.33939392
284,72.23387329
284.01,72.131132775
284.02,72.030895305
284.03,71.933315555
284.04,71.83824692
284.05,71.74597454
284.06,71.656229415
284.07,71.56915815
284.08,71.48462221
284.09,71.40277627
284.1,71.323750795
284.11,71.247561925
284.12,71.17394066
284.13,71.103033605
284.14,71.03510976
284.15,70.969916265
284.16,70.907591655
284.17,70.847997395
284.18,70.791418625
284.19,70.737317345
284.2,70.686231555
284.21,70.63776179
284.22,70.591777585
284.23,70.54827894
284.24,70.50711925
284.25,70.46817612
284.26,70.431033945
284.27,70.39583126
284.28,70.36214439
284.29,70.329712405
284.3,70.2983887
284.31,70.26775767
284.32,70.23768885
284.33,70.20762003
284.34,70.177681675
284.35,70.147335785
284.36,70.11628915
